Z(3, 3; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 1000; Time: 70.957 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 4; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 1000; Time: 108.389 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 5; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 1000; Time: 197.78 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 6; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 1000; Time: 248.788 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 7; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 1000; Time: 126.435 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 8; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 1000; Time: 158.274 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 9; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 1000; Time: 178.292 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 10; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 1000; Time: 197.644 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 11; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 1000; Time: 235.616 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 12; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 1000; Time: 265.132 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 13; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 1000; Time: 273.171 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
