Z(3, 3; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 1000; Time: 34.4285 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(3, 4; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 1000; Time: 39.2369 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(3, 5; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 1000; Time: 53.7731 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(3, 6; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 1000; Time: 61.1503 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(3, 7; 2, 2): Max: 10; Mean: 9.998; Variance: 0.001996; Size: 1000; Time: 49.8683 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 998 ; iter: 10;
Z(3, 8; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 1000; Time: 54.5408 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(3, 9; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 1000; Time: 62.6187 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(3, 10; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 1000; Time: 69.7461 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(3, 11; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 1000; Time: 74.8516 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(3, 12; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 1000; Time: 87.5623 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(3, 13; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 1000; Time: 90.7729 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(3, 14; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 1000; Time: 99.289 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
