Z(3, 3; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 1000; Time: 83.8398 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 4; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 1000; Time: 108.265 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 5; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 1000; Time: 197.508 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 6; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 1000; Time: 250.861 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 7; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 1000; Time: 128.793 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 8; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 1000; Time: 166.909 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 9; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 1000; Time: 188.063 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 10; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 1000; Time: 243.513 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 11; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 1000; Time: 267.082 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 12; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 1000; Time: 289.359 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 13; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 1000; Time: 302.272 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 14; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 1000; Time: 399.692 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 15; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 1000; Time: 394.167 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 16; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 1000; Time: 426.492 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 17; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 1000; Time: 500.423 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 18; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 1000; Time: 560.2 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 19; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 1000; Time: 599.881 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 20; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 1000; Time: 685.277 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 21; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 1000; Time: 747.304 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 22; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 1000; Time: 786.823 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 23; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 1000; Time: 856.922 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 24; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 1000; Time: 958.058 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 25; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 1000; Time: 988.425 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 26; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 1000; Time: 1181.67 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 27; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 1000; Time: 1265.29 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 28; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 1000; Time: 1340.3 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 29; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 1000; Time: 1451.45 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 30; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 1000; Time: 1573.36 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 4; 2, 2): Max: 9; Mean: 8.989; Variance: 0.010879; Size: 1000; Time: 128.564 ms; Top5_Histogram_(relative_to_max): 0 0 0 11 989 ; iter: 200;
Z(4, 5; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 1000; Time: 207.129 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 6; 2, 2): Max: 12; Mean: 11.732; Variance: 0.196176; Size: 1000; Time: 188.981 ms; Top5_Histogram_(relative_to_max): 0 0 0 268 732 ; iter: 200;
Z(4, 7; 2, 2): Max: 13; Mean: 12.917; Variance: 0.076111; Size: 1000; Time: 206.707 ms; Top5_Histogram_(relative_to_max): 0 0 0 83 917 ; iter: 200;
Z(4, 8; 2, 2): Max: 14; Mean: 13.98; Variance: 0.0196; Size: 1000; Time: 339.774 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 980 ; iter: 200;
Z(4, 9; 2, 2): Max: 15; Mean: 14.998; Variance: 0.001996; Size: 1000; Time: 395.415 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 998 ; iter: 200;
Z(4, 10; 2, 2): Max: 16; Mean: 15.997; Variance: 0.002991; Size: 1000; Time: 461.105 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 997 ; iter: 200;
Z(4, 11; 2, 2): Max: 17; Mean: 16.999; Variance: 0.000999; Size: 1000; Time: 516.611 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 999 ; iter: 200;
Z(4, 12; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 1000; Time: 715.942 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 13; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 1000; Time: 299.011 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 14; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 1000; Time: 340.453 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 15; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 1000; Time: 390.172 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 16; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 1000; Time: 426.971 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 17; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 1000; Time: 458.543 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 18; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 1000; Time: 507.701 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 19; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 1000; Time: 529.511 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 20; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 1000; Time: 632.495 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 21; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 1000; Time: 662.591 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 22; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 1000; Time: 697.804 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 23; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 1000; Time: 741.108 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 24; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 1000; Time: 865.316 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 25; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 1000; Time: 910.259 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 26; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 1000; Time: 970.144 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 27; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 1000; Time: 1006.76 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 28; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 1000; Time: 1126.88 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
