Z(3, 3; 2, 2): Max: 6; Mean: 5.9; Variance: 0.09; Size: 10; Time: 11.575 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 9 ; iter: 3;
Z(3, 4; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 10; Time: 9.4447 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 5; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 10; Time: 11.7555 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 6; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 10; Time: 9.5968 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 7; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 10; Time: 9.2522 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 8; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 10; Time: 10.5728 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 9; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 10; Time: 10.2581 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 10; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 10; Time: 9.8965 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 11; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 10; Time: 9.8197 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 12; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 10; Time: 9.6585 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 13; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 10; Time: 9.8274 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 14; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 10; Time: 10.1281 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 15; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 10; Time: 10.1934 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 16; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 10; Time: 10.0275 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 17; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 10; Time: 9.9798 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 18; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 10; Time: 9.472 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 19; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 10; Time: 12.0087 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 20; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 10; Time: 10.0127 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 21; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 10; Time: 11.7247 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 22; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 10; Time: 9.6472 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 23; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 10; Time: 9.7453 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 24; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 10; Time: 10.6276 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 25; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 10; Time: 11.8704 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 26; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 10; Time: 10.1405 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 27; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 10; Time: 10.6197 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 28; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 10; Time: 10.2334 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 29; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 10; Time: 10.4236 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 30; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 10; Time: 10.9937 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 31; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 10; Time: 10.7558 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 32; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 10; Time: 11.1401 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 33; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 10; Time: 11.21 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 34; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 10; Time: 10.1682 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 35; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 10; Time: 11.0499 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 36; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 10; Time: 12.5347 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 37; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 10; Time: 11.3719 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 38; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 10; Time: 10.6881 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 39; 2, 2): Max: 42; Mean: 42; Variance: 0; Size: 10; Time: 11.1787 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 40; 2, 2): Max: 43; Mean: 43; Variance: 0; Size: 10; Time: 11.6259 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 4; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 10; Time: 11.8122 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 5; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 10; Time: 9.4678 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 6; 2, 2): Max: 12; Mean: 11.7; Variance: 0.21; Size: 10; Time: 9.7756 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 7 ; iter: 3;
Z(4, 7; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 10; Time: 9.7043 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 8; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 10; Time: 9.3991 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 9; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 10; Time: 10.0888 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 10; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 10; Time: 9.5751 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 11; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 10; Time: 9.5851 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 12; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 10; Time: 9.4013 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 13; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 10; Time: 10.2182 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
