Z(3, 3; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 1000; Time: 61.047 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 4; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 1000; Time: 105.118 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 5; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 1000; Time: 189.924 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 6; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 1000; Time: 247.866 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 7; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 1000; Time: 124.697 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 8; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 1000; Time: 154.645 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 9; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 1000; Time: 174.599 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 10; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 1000; Time: 194.967 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 11; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 1000; Time: 233.669 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 12; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 1000; Time: 255.331 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 13; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 1000; Time: 270.502 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 14; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 1000; Time: 326.501 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 15; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 1000; Time: 352.398 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 16; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 1000; Time: 377.94 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 17; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 1000; Time: 417.081 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 18; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 1000; Time: 455.518 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 19; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 1000; Time: 459.701 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 20; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 1000; Time: 525.865 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 21; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 1000; Time: 573.365 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 22; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 1000; Time: 572.585 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 23; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 1000; Time: 640.009 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 24; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 1000; Time: 665.526 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 25; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 1000; Time: 691.385 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 26; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 1000; Time: 776.852 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 27; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 1000; Time: 808.149 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 28; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 1000; Time: 839.17 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 29; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 1000; Time: 919.943 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 30; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 1000; Time: 944.701 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 4; 2, 2): Max: 9; Mean: 8.983; Variance: 0.016711; Size: 1000; Time: 101.273 ms; Top5_Histogram_(relative_to_max): 0 0 0 17 983 ; iter: 200;
Z(4, 5; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 1000; Time: 205.715 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 6; 2, 2): Max: 12; Mean: 11.771; Variance: 0.176559; Size: 1000; Time: 176.606 ms; Top5_Histogram_(relative_to_max): 0 0 0 229 771 ; iter: 200;
Z(4, 7; 2, 2): Max: 13; Mean: 12.906; Variance: 0.085164; Size: 1000; Time: 221.85 ms; Top5_Histogram_(relative_to_max): 0 0 0 94 906 ; iter: 200;
Z(4, 8; 2, 2): Max: 14; Mean: 13.975; Variance: 0.024375; Size: 1000; Time: 358.592 ms; Top5_Histogram_(relative_to_max): 0 0 0 25 975 ; iter: 200;
Z(4, 9; 2, 2): Max: 15; Mean: 14.994; Variance: 0.005964; Size: 1000; Time: 405.485 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 994 ; iter: 200;
Z(4, 10; 2, 2): Max: 16; Mean: 15.997; Variance: 0.002991; Size: 1000; Time: 503.956 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 997 ; iter: 200;
Z(4, 11; 2, 2): Max: 17; Mean: 16.999; Variance: 0.000999; Size: 1000; Time: 540.743 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 999 ; iter: 200;
Z(4, 12; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 1000; Time: 755.636 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 13; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 1000; Time: 312.021 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 14; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 1000; Time: 340.769 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 15; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 1000; Time: 384.508 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
