Z(2, 2; 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 1000; Time: 91.3913 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(2, 3; 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 1000; Time: 72.3575 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(2, 4; 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 1000; Time: 112.448 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(2, 5; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 1000; Time: 145.373 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(2, 6; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 1000; Time: 185.619 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(2, 7; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 1000; Time: 206.407 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(2, 8; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 1000; Time: 262.712 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(2, 9; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 1000; Time: 295.806 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(2, 10; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 1000; Time: 362.707 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(2, 11; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 1000; Time: 401.501 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(2, 12; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 1000; Time: 473.02 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(2, 13; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 1000; Time: 505.738 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(2, 14; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 1000; Time: 596.013 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(2, 15; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 1000; Time: 633.864 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(2, 16; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 1000; Time: 748.42 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
