Z(2, 2; 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 50000; Time: 394.263 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
Z(2, 3; 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 50000; Time: 265.801 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
Z(2, 4; 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 50000; Time: 311.911 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
Z(2, 5; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 50000; Time: 359.181 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
Z(2, 6; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 50000; Time: 368.188 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
Z(2, 7; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 50000; Time: 391.008 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
Z(2, 8; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 50000; Time: 406.856 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
Z(2, 9; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 50000; Time: 477.542 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
Z(2, 10; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 50000; Time: 496.46 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
Z(2, 11; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 50000; Time: 508.34 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
Z(2, 12; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 50000; Time: 515.29 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
Z(2, 13; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 50000; Time: 544.214 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
Z(2, 14; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 50000; Time: 740.7 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
Z(2, 15; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 50000; Time: 572.557 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
Z(2, 16; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 50000; Time: 625.344 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
Z(2, 17; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 50000; Time: 684.256 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
Z(2, 18; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 50000; Time: 722.907 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
Z(2, 19; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 50000; Time: 751.223 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
Z(2, 20; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 50000; Time: 773.321 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
Z(2, 21; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 50000; Time: 860.184 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ;
