Z(2, 2; 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 400; Time: 6.1227 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 3; 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 400; Time: 6.4734 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 4; 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 400; Time: 6.9681 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 5; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 400; Time: 8.0178 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 6; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 400; Time: 7.7141 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 7; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 400; Time: 8.3804 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 8; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 400; Time: 9.095 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 9; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 400; Time: 10.8503 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 10; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 400; Time: 10.1079 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 11; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 400; Time: 11.1644 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 12; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 400; Time: 12.363 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 13; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 400; Time: 13.674 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 14; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 400; Time: 12.7813 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 15; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 400; Time: 13.8267 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 16; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 400; Time: 15.0433 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 17; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 400; Time: 17.8224 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 18; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 400; Time: 16.5265 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 19; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 400; Time: 17.7405 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 20; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 400; Time: 19.4028 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 21; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 400; Time: 21.9314 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 22; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 400; Time: 20.2388 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 23; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 400; Time: 21.2329 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 24; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 400; Time: 22.7702 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 25; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 400; Time: 25.7353 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 26; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 400; Time: 23.1564 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 27; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 400; Time: 27.5036 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 28; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 400; Time: 27.4137 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 29; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 400; Time: 30.5671 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 30; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 400; Time: 27.8232 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 31; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 400; Time: 29.158 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 32; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 400; Time: 31.614 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 33; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 400; Time: 37.1505 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 34; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 400; Time: 33.7006 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 35; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 400; Time: 36.1073 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 36; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 400; Time: 38.4631 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 37; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 400; Time: 42.0579 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 38; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 400; Time: 38.6534 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 400; Time: 41.3208 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 400; Time: 44.0549 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 3; 2, 2): Max: 6; Mean: 5.95; Variance: 0.0475; Size: 400; Time: 7.0338 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 380 ; iter: 1, 3, 6, 12;
Z(3, 4; 2, 2): Max: 7; Mean: 6.4; Variance: 0.24; Size: 400; Time: 6.3173 ms; Top5_Histogram_(relative_to_max): 0 0 0 240 160 ; iter: 1, 3, 6, 12;
Z(3, 5; 2, 2): Max: 8; Mean: 7.72; Variance: 0.2016; Size: 400; Time: 7.1476 ms; Top5_Histogram_(relative_to_max): 0 0 0 112 288 ; iter: 1, 3, 6, 12;
