Z(2, 2; 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 5300; Time: 12.8628 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 3; 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 5300; Time: 12.0261 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 4; 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 5300; Time: 13.6172 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 5; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 5300; Time: 15.1186 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 6; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 5300; Time: 18.5778 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 7; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 5300; Time: 19.1743 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 8; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 5300; Time: 22.0558 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 9; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 5300; Time: 24.0055 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 10; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 5300; Time: 26.5435 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 11; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 5300; Time: 28.9941 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 12; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 5300; Time: 34.4037 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 13; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 5300; Time: 33.6634 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 14; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 5300; Time: 37.9067 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 15; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 5300; Time: 39.669 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 16; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 5300; Time: 44.0404 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 17; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 5300; Time: 45.5336 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 18; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 5300; Time: 49.3968 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 19; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 5300; Time: 53.7287 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 20; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 5300; Time: 56.0292 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 21; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 5300; Time: 59.5812 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 22; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 5300; Time: 62.9387 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 23; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 5300; Time: 65.9713 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 24; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 5300; Time: 72.1666 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 25; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 5300; Time: 73.2787 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 26; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 5300; Time: 78.8195 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 27; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 5300; Time: 81.703 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 28; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 5300; Time: 86.9115 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 29; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 5300; Time: 88.8266 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 30; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 5300; Time: 95.4825 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 31; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 5300; Time: 97.2257 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 32; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 5300; Time: 106.735 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 33; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 5300; Time: 109.969 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 34; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 5300; Time: 115.749 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 35; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 5300; Time: 121.052 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 36; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 5300; Time: 127.163 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 37; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 5300; Time: 127.053 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 38; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 5300; Time: 134.077 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 5300; Time: 138.126 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 5300; Time: 151.357 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(3, 3; 2, 2): Max: 6; Mean: 5.60849; Variance: 0.23823; Size: 5300; Time: 19.456 ms; Top5_Histogram_(relative_to_max): 0 0 0 2075 3225 ;
Z(3, 4; 2, 2): Max: 7; Mean: 6.86415; Variance: 0.117394; Size: 5300; Time: 24.2107 ms; Top5_Histogram_(relative_to_max): 0 0 0 720 4580 ;
