Z(2, 2; 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 1000; Time: 12.2139 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 20;
Z(2, 3; 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 1000; Time: 7.6516 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 20;
Z(2, 4; 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 1000; Time: 12.6818 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 20;
Z(2, 5; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 1000; Time: 12.2691 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 20;
Z(2, 6; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 1000; Time: 19.4994 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 20;
Z(2, 7; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 1000; Time: 17.0726 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 20;
Z(2, 8; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 1000; Time: 22.2549 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 20;
Z(2, 9; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 1000; Time: 21.4428 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 20;
Z(2, 10; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 1000; Time: 28.1951 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 20;
Z(2, 11; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 1000; Time: 26.2914 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 20;
Z(2, 12; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 1000; Time: 31.6756 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 20;
Z(2, 13; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 1000; Time: 30.9261 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 20;
Z(2, 14; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 1000; Time: 38.2556 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 20;
Z(2, 15; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 1000; Time: 36.4232 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 20;
Z(2, 16; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 1000; Time: 42.676 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 20;
