Z(2, 2; 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 240; Time: 8.7938 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(2, 3; 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 240; Time: 2.6757 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(2, 4; 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 240; Time: 3.0618 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(2, 5; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 240; Time: 3.6774 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(2, 6; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 240; Time: 3.1971 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(2, 7; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 240; Time: 3.5332 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(2, 8; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 240; Time: 3.9204 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(2, 9; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 240; Time: 4.7782 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(2, 10; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 240; Time: 7.2033 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(2, 11; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 240; Time: 29.3207 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(2, 12; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 240; Time: 40.1679 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(2, 13; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 240; Time: 82.637 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(2, 14; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 240; Time: 13.228 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
