Z(2, 2; 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 10; Time: 21.4166 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 3; 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 10; Time: 21.8342 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 4; 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 10; Time: 19.0555 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 5; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 10; Time: 18.7422 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 6; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 10; Time: 18.6856 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 7; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 10; Time: 18.5805 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 8; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 10; Time: 19.2301 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 9; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 10; Time: 19.592 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 10; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 10; Time: 19.2084 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 11; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 10; Time: 19.6578 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 12; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 10; Time: 19.5305 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 13; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 10; Time: 25.0018 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 14; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 10; Time: 21.4175 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 15; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 10; Time: 19.8696 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 16; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 10; Time: 19.8486 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 17; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 10; Time: 19.8995 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 18; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 10; Time: 21.8001 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 19; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 10; Time: 20.6248 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 20; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 10; Time: 20.2251 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 21; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 10; Time: 22.9083 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 22; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 10; Time: 21.4515 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 23; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 10; Time: 20.493 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 24; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 10; Time: 23.4511 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 25; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 10; Time: 22.3957 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 26; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 10; Time: 20.4417 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 27; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 10; Time: 20.4406 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 28; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 10; Time: 22.9028 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 29; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 10; Time: 19.9884 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 30; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 10; Time: 20.3773 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 31; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 10; Time: 21.7431 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 32; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 10; Time: 20.4843 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 33; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 10; Time: 21.8926 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 34; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 10; Time: 22.8753 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 35; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 10; Time: 22.4347 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 36; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 10; Time: 22.9038 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 37; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 10; Time: 22.4341 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 38; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 10; Time: 21.4462 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 10; Time: 22.4583 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 10; Time: 21.9115 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 3; 2, 2): Max: 6; Mean: 5.76667; Variance: 0.178889; Size: 30; Time: 21.0928 ms; Top5_Histogram_(relative_to_max): 0 0 0 7 23 ; iter: 3;
Z(3, 4; 2, 2): Max: 7; Mean: 6.9; Variance: 0.09; Size: 30; Time: 19.0466 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 27 ; iter: 3;
Z(3, 5; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 30; Time: 19.0052 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(3, 6; 2, 2): Max: 9; Mean: 8.96667; Variance: 0.0322222; Size: 30; Time: 20.4757 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 29 ; iter: 3;
Z(3, 7; 2, 2): Max: 10; Mean: 9.33333; Variance: 0.222222; Size: 30; Time: 20.848 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 8; 2, 2): Max: 11; Mean: 10.3333; Variance: 0.222222; Size: 30; Time: 20.9994 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 9; 2, 2): Max: 12; Mean: 11.3333; Variance: 0.222222; Size: 30; Time: 23.0182 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 10; 2, 2): Max: 13; Mean: 12.3333; Variance: 0.222222; Size: 30; Time: 20.6556 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 11; 2, 2): Max: 14; Mean: 13.3333; Variance: 0.222222; Size: 30; Time: 21.5536 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 12; 2, 2): Max: 15; Mean: 14.3333; Variance: 0.222222; Size: 30; Time: 22.6709 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 13; 2, 2): Max: 16; Mean: 15.3333; Variance: 0.222222; Size: 30; Time: 22.2082 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 14; 2, 2): Max: 17; Mean: 16.3333; Variance: 0.222222; Size: 30; Time: 21.6938 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 15; 2, 2): Max: 18; Mean: 17.3333; Variance: 0.222222; Size: 30; Time: 22.4279 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 16; 2, 2): Max: 19; Mean: 18.3333; Variance: 0.222222; Size: 30; Time: 23.7762 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 17; 2, 2): Max: 20; Mean: 19.3333; Variance: 0.222222; Size: 30; Time: 23.0847 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 18; 2, 2): Max: 21; Mean: 20.3333; Variance: 0.222222; Size: 30; Time: 22.9607 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 19; 2, 2): Max: 22; Mean: 21.3333; Variance: 0.222222; Size: 30; Time: 23.0191 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 20; 2, 2): Max: 23; Mean: 22.3333; Variance: 0.222222; Size: 30; Time: 25.9146 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 21; 2, 2): Max: 24; Mean: 23.3333; Variance: 0.222222; Size: 30; Time: 24.6353 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 22; 2, 2): Max: 25; Mean: 24.3333; Variance: 0.222222; Size: 30; Time: 26.8329 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 23; 2, 2): Max: 26; Mean: 25.3333; Variance: 0.222222; Size: 30; Time: 28.2504 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 24; 2, 2): Max: 27; Mean: 26.3333; Variance: 0.222222; Size: 30; Time: 28.6904 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 25; 2, 2): Max: 28; Mean: 27.3333; Variance: 0.222222; Size: 30; Time: 27.0762 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 26; 2, 2): Max: 29; Mean: 28.3333; Variance: 0.222222; Size: 30; Time: 26.5098 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 27; 2, 2): Max: 30; Mean: 29.3333; Variance: 0.222222; Size: 30; Time: 27.8248 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 28; 2, 2): Max: 31; Mean: 30.3333; Variance: 0.222222; Size: 30; Time: 28.8039 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 29; 2, 2): Max: 32; Mean: 31.3333; Variance: 0.222222; Size: 30; Time: 26.6971 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 30; 2, 2): Max: 33; Mean: 32.3333; Variance: 0.222222; Size: 30; Time: 29.0175 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 31; 2, 2): Max: 34; Mean: 33.3333; Variance: 0.222222; Size: 30; Time: 31.4318 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 32; 2, 2): Max: 35; Mean: 34.3333; Variance: 0.222222; Size: 30; Time: 28.9241 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 33; 2, 2): Max: 36; Mean: 35.3333; Variance: 0.222222; Size: 30; Time: 30.9121 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 34; 2, 2): Max: 37; Mean: 36.3333; Variance: 0.222222; Size: 30; Time: 30.5977 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 35; 2, 2): Max: 38; Mean: 37.3333; Variance: 0.222222; Size: 30; Time: 29.7581 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 36; 2, 2): Max: 39; Mean: 38.3333; Variance: 0.222222; Size: 30; Time: 31.024 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 37; 2, 2): Max: 40; Mean: 39.3333; Variance: 0.222222; Size: 30; Time: 34.495 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 38; 2, 2): Max: 41; Mean: 40.3333; Variance: 0.222222; Size: 30; Time: 32.1211 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 39; 2, 2): Max: 42; Mean: 41.3333; Variance: 0.222222; Size: 30; Time: 33.2638 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(3, 40; 2, 2): Max: 43; Mean: 42.3333; Variance: 0.222222; Size: 30; Time: 33.5865 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 10 ; iter: 3;
Z(4, 4; 2, 2): Max: 9; Mean: 8.825; Variance: 0.144375; Size: 40; Time: 22.2613 ms; Top5_Histogram_(relative_to_max): 0 0 0 7 33 ; iter: 3;
Z(4, 5; 2, 2): Max: 10; Mean: 9.925; Variance: 0.069375; Size: 40; Time: 21.8984 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 37 ; iter: 3;
Z(4, 6; 2, 2): Max: 12; Mean: 11.3; Variance: 0.21; Size: 40; Time: 20.8906 ms; Top5_Histogram_(relative_to_max): 0 0 0 28 12 ; iter: 3;
Z(4, 7; 2, 2): Max: 13; Mean: 12.45; Variance: 0.2475; Size: 40; Time: 22.6514 ms; Top5_Histogram_(relative_to_max): 0 0 0 22 18 ; iter: 3;
Z(4, 8; 2, 2): Max: 14; Mean: 13.725; Variance: 0.199375; Size: 40; Time: 23.3045 ms; Top5_Histogram_(relative_to_max): 0 0 0 11 29 ; iter: 3;
Z(4, 9; 2, 2): Max: 15; Mean: 14.675; Variance: 0.219375; Size: 40; Time: 22.0316 ms; Top5_Histogram_(relative_to_max): 0 0 0 13 27 ; iter: 3;
Z(4, 10; 2, 2): Max: 16; Mean: 15.775; Variance: 0.174375; Size: 40; Time: 23.3465 ms; Top5_Histogram_(relative_to_max): 0 0 0 9 31 ; iter: 3;
Z(4, 11; 2, 2): Max: 17; Mean: 16.825; Variance: 0.144375; Size: 40; Time: 23.8947 ms; Top5_Histogram_(relative_to_max): 0 0 0 7 33 ; iter: 3;
Z(4, 12; 2, 2): Max: 18; Mean: 17.85; Variance: 0.1275; Size: 40; Time: 23.7224 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 34 ; iter: 3;
Z(4, 13; 2, 2): Max: 19; Mean: 17.25; Variance: 1.6875; Size: 40; Time: 23.9707 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 14; 2, 2): Max: 20; Mean: 18.175; Variance: 1.49438; Size: 40; Time: 25.8322 ms; Top5_Histogram_(relative_to_max): 0 20 0 13 7 ; iter: 3;
Z(4, 15; 2, 2): Max: 21; Mean: 19.175; Variance: 1.49438; Size: 40; Time: 25.1397 ms; Top5_Histogram_(relative_to_max): 0 20 0 13 7 ; iter: 3;
Z(4, 16; 2, 2): Max: 22; Mean: 20.225; Variance: 1.62437; Size: 40; Time: 25.1763 ms; Top5_Histogram_(relative_to_max): 0 20 0 11 9 ; iter: 3;
Z(4, 17; 2, 2): Max: 23; Mean: 21.225; Variance: 1.62437; Size: 40; Time: 27.0237 ms; Top5_Histogram_(relative_to_max): 0 20 0 11 9 ; iter: 3;
Z(4, 18; 2, 2): Max: 24; Mean: 22.25; Variance: 1.6875; Size: 40; Time: 26.8205 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 19; 2, 2): Max: 25; Mean: 23.25; Variance: 1.6875; Size: 40; Time: 27.1471 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 20; 2, 2): Max: 26; Mean: 24.25; Variance: 1.6875; Size: 40; Time: 28.4533 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 21; 2, 2): Max: 27; Mean: 25.25; Variance: 1.6875; Size: 40; Time: 28.0678 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 22; 2, 2): Max: 28; Mean: 26.25; Variance: 1.6875; Size: 40; Time: 28.0965 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 23; 2, 2): Max: 29; Mean: 27.25; Variance: 1.6875; Size: 40; Time: 29.015 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 24; 2, 2): Max: 30; Mean: 28.25; Variance: 1.6875; Size: 40; Time: 30.3383 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 25; 2, 2): Max: 31; Mean: 29.25; Variance: 1.6875; Size: 40; Time: 32.3072 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 26; 2, 2): Max: 32; Mean: 30.25; Variance: 1.6875; Size: 40; Time: 31.2373 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 27; 2, 2): Max: 33; Mean: 31.225; Variance: 1.62437; Size: 40; Time: 32.9304 ms; Top5_Histogram_(relative_to_max): 0 20 0 11 9 ; iter: 3;
Z(4, 28; 2, 2): Max: 34; Mean: 32.25; Variance: 1.6875; Size: 40; Time: 33.4107 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 29; 2, 2): Max: 35; Mean: 33.25; Variance: 1.6875; Size: 40; Time: 35.4988 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 30; 2, 2): Max: 36; Mean: 34.25; Variance: 1.6875; Size: 40; Time: 36.8482 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 31; 2, 2): Max: 37; Mean: 35.25; Variance: 1.6875; Size: 40; Time: 33.683 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 32; 2, 2): Max: 38; Mean: 36.25; Variance: 1.6875; Size: 40; Time: 35.5342 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 33; 2, 2): Max: 39; Mean: 37.25; Variance: 1.6875; Size: 40; Time: 49.4626 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 34; 2, 2): Max: 40; Mean: 38.25; Variance: 1.6875; Size: 40; Time: 38.0983 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 35; 2, 2): Max: 41; Mean: 39.25; Variance: 1.6875; Size: 40; Time: 40.7345 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 36; 2, 2): Max: 42; Mean: 40.25; Variance: 1.6875; Size: 40; Time: 40.6265 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 37; 2, 2): Max: 43; Mean: 41.25; Variance: 1.6875; Size: 40; Time: 40.6438 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 38; 2, 2): Max: 44; Mean: 42.25; Variance: 1.6875; Size: 40; Time: 52.8048 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 39; 2, 2): Max: 45; Mean: 43.25; Variance: 1.6875; Size: 40; Time: 42.3518 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(4, 40; 2, 2): Max: 46; Mean: 44.25; Variance: 1.6875; Size: 40; Time: 41.2022 ms; Top5_Histogram_(relative_to_max): 0 20 0 10 10 ; iter: 3;
Z(5, 5; 2, 2): Max: 12; Mean: 11.8; Variance: 0.16; Size: 40; Time: 23.9247 ms; Top5_Histogram_(relative_to_max): 0 0 0 8 32 ; iter: 3;
Z(5, 6; 2, 2): Max: 14; Mean: 13.375; Variance: 0.284375; Size: 40; Time: 23.0517 ms; Top5_Histogram_(relative_to_max): 0 0 1 23 16 ; iter: 3;
Z(5, 7; 2, 2): Max: 15; Mean: 14.75; Variance: 0.1875; Size: 40; Time: 23.4726 ms; Top5_Histogram_(relative_to_max): 0 0 0 10 30 ; iter: 3;
Z(5, 8; 2, 2): Max: 17; Mean: 16.3; Variance: 0.41; Size: 40; Time: 23.5515 ms; Top5_Histogram_(relative_to_max): 0 0 4 20 16 ; iter: 3;
Z(5, 9; 2, 2): Max: 18; Mean: 17.575; Variance: 0.444375; Size: 40; Time: 25.5805 ms; Top5_Histogram_(relative_to_max): 0 0 4 9 27 ; iter: 3;
Z(5, 10; 2, 2): Max: 20; Mean: 18.825; Variance: 0.544375; Size: 40; Time: 27.1125 ms; Top5_Histogram_(relative_to_max): 0 1 12 20 7 ; iter: 3;
Z(5, 11; 2, 2): Max: 21; Mean: 19.975; Variance: 0.374375; Size: 40; Time: 26.06 ms; Top5_Histogram_(relative_to_max): 0 1 5 28 6 ; iter: 3;
