Z(2, 2; 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 900; Time: 8.3938 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
Z(2, 3; 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 900; Time: 13.6336 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
Z(2, 4; 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 900; Time: 16.9715 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
Z(2, 5; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 900; Time: 21.0408 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
Z(2, 6; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 900; Time: 28.4087 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
Z(2, 7; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 900; Time: 32.7841 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
Z(2, 8; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 900; Time: 42.3664 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
Z(2, 9; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 900; Time: 35.6389 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
Z(2, 10; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 900; Time: 40.2868 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
Z(2, 11; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 900; Time: 45.3575 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
Z(2, 12; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 900; Time: 50.4927 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
Z(2, 13; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 900; Time: 57.7274 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
Z(2, 14; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 900; Time: 58.5899 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
Z(2, 15; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 900; Time: 61.7314 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
Z(2, 16; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 900; Time: 68.1419 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
Z(2, 17; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 900; Time: 73.3377 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
Z(2, 18; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 900; Time: 77.1979 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
Z(2, 19; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 900; Time: 84.3632 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
Z(2, 20; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 900; Time: 89.3726 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
Z(2, 21; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 900; Time: 94.4744 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 900 ; iter: 30;
