Z(2, 2; 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 1500; Time: 8.048 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 3; 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 1500; Time: 10.5464 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 4; 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 1500; Time: 13.5575 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 5; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 1500; Time: 16.4107 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 6; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 1500; Time: 18.8133 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 7; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 1500; Time: 21.8507 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 8; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 1500; Time: 25.2384 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 9; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 1500; Time: 28.3955 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 10; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 1500; Time: 32.1028 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 11; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 1500; Time: 34.0081 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 12; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 1500; Time: 38.1729 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 13; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 1500; Time: 41.0311 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 14; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 1500; Time: 44.407 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 15; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 1500; Time: 47.8373 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 16; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 1500; Time: 51.5099 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 17; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 1500; Time: 54.7373 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 18; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 1500; Time: 59.032 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 19; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 1500; Time: 63.0473 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 20; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 1500; Time: 68.8594 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 21; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 1500; Time: 71.6615 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 22; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 1500; Time: 75.4744 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 23; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 1500; Time: 79.3038 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 24; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 1500; Time: 83.5717 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 25; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 1500; Time: 87.4542 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 26; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 1500; Time: 92.4207 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 27; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 1500; Time: 97.1295 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 28; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 1500; Time: 101.259 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 29; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 1500; Time: 106.409 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 30; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 1500; Time: 111.973 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 31; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 1500; Time: 116.166 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 32; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 1500; Time: 122.606 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 33; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 1500; Time: 126.661 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 34; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 1500; Time: 131.292 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 35; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 1500; Time: 137.941 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 36; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 1500; Time: 141.846 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 37; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 1500; Time: 148.913 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 38; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 1500; Time: 155.697 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 1500; Time: 161.91 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 1500; Time: 166.914 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(3, 3; 2, 2): Max: 6; Mean: 5.98; Variance: 0.0196; Size: 1500; Time: 18.0816 ms; Top5_Histogram_(relative_to_max): 0 0 0 30 1470 ; iter: 20;
Z(3, 4; 2, 2): Max: 7; Mean: 6.98667; Variance: 0.0131556; Size: 1500; Time: 20.6556 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 1480 ; iter: 20;
Z(3, 5; 2, 2): Max: 8; Mean: 7.994; Variance: 0.005964; Size: 1500; Time: 25.0581 ms; Top5_Histogram_(relative_to_max): 0 0 0 9 1491 ; iter: 20;
Z(3, 6; 2, 2): Max: 9; Mean: 8.99667; Variance: 0.00332222; Size: 1500; Time: 29.0354 ms; Top5_Histogram_(relative_to_max): 0 0 0 5 1495 ; iter: 20;
Z(3, 7; 2, 2): Max: 10; Mean: 9.98867; Variance: 0.0112049; Size: 1500; Time: 40.7983 ms; Top5_Histogram_(relative_to_max): 0 0 0 17 1483 ; iter: 20;
Z(3, 8; 2, 2): Max: 11; Mean: 10.9927; Variance: 0.00727956; Size: 1500; Time: 47.182 ms; Top5_Histogram_(relative_to_max): 0 0 0 11 1489 ; iter: 20;
Z(3, 9; 2, 2): Max: 12; Mean: 11.998; Variance: 0.001996; Size: 1500; Time: 45.7262 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 1497 ; iter: 20;
Z(3, 10; 2, 2): Max: 13; Mean: 12.998; Variance: 0.001996; Size: 1500; Time: 48.2895 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 1497 ; iter: 20;
Z(3, 11; 2, 2): Max: 14; Mean: 13.998; Variance: 0.001996; Size: 1500; Time: 52.6287 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 1497 ; iter: 20;
Z(3, 12; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 1500; Time: 56.5634 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(3, 13; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 1500; Time: 61.3025 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(3, 14; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 1500; Time: 66.1986 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(3, 15; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 1500; Time: 71.2426 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(3, 16; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 1500; Time: 73.9382 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
Z(3, 17; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 1500; Time: 80.0183 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1500 ; iter: 20;
