Z(2, 2; 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 400; Time: 5.4201 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 3; 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 400; Time: 5.0295 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 4; 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 400; Time: 5.3351 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 5; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 400; Time: 5.884 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 6; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 400; Time: 5.7409 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 7; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 400; Time: 5.7402 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 8; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 400; Time: 6.2327 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 9; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 400; Time: 7.2028 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 10; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 400; Time: 6.1191 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 11; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 400; Time: 6.5289 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 12; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 400; Time: 7.1051 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 13; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 400; Time: 8.3713 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 14; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 400; Time: 6.8886 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 15; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 400; Time: 7.62 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 16; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 400; Time: 8.2931 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 17; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 400; Time: 9.5209 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 18; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 400; Time: 7.5913 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 19; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 400; Time: 8.2436 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 20; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 400; Time: 9.1338 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 21; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 400; Time: 10.8018 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 22; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 400; Time: 8.4423 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 23; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 400; Time: 9.197 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 24; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 400; Time: 10.309 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 25; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 400; Time: 12.3419 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 26; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 400; Time: 9.3577 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 27; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 400; Time: 10.1796 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 28; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 400; Time: 11.4031 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 29; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 400; Time: 13.6373 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 30; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 400; Time: 10.2304 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 31; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 400; Time: 11.2554 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 32; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 400; Time: 12.6711 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 33; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 400; Time: 15.0884 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 34; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 400; Time: 11.3156 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 35; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 400; Time: 12.7112 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 36; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 400; Time: 13.9226 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 37; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 400; Time: 16.9953 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 38; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 400; Time: 12.4229 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
