Z(2, 2; 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 36; Time: 13.1623 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 36 ; iter: 0x65f080;
Z(2, 3; 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 36; Time: 12.7306 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 36 ; iter: 0x65f080;
Z(2, 4; 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 36; Time: 12.5581 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 36 ; iter: 0x65f080;
Z(2, 5; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 36; Time: 12.524 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 36 ; iter: 0x65f080;
Z(2, 6; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 36; Time: 12.5198 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 36 ; iter: 0x65f080;
Z(2, 7; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 36; Time: 12.6298 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 36 ; iter: 0x65f080;
Z(2, 8; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 36; Time: 13.5588 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 36 ; iter: 0x65f080;
Z(2, 9; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 36; Time: 15.4671 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 36 ; iter: 0x65f080;
Z(2, 10; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 36; Time: 18.0177 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 36 ; iter: 0x65f080;
Z(2, 11; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 36; Time: 14.4064 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 36 ; iter: 0x65f080;
Z(2, 12; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 36; Time: 14.4668 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 36 ; iter: 0x65f080;
Z(2, 13; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 36; Time: 14.5718 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 36 ; iter: 0x65f080;
Z(2, 14; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 36; Time: 14.3095 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 36 ; iter: 0x65f080;
Z(2, 15; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 36; Time: 16.5066 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 36 ; iter: 0x65f080;
Z(2, 16; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 36; Time: 16.4102 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 36 ; iter: 0x65f080;
