Z(2, 2; 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 50000; Time: 300.746 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.6375;
Z(2, 3; 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 50000; Time: 258.724 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.566667;
Z(2, 4; 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 50000; Time: 279.565 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.53125;
Z(2, 5; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 50000; Time: 329.821 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.51;
Z(2, 6; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 50000; Time: 348.964 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.495833;
Z(2, 7; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 50000; Time: 376.382 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.485714;
Z(2, 8; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 50000; Time: 397.786 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.478125;
Z(2, 9; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 50000; Time: 462.99 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.472222;
Z(2, 10; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 50000; Time: 496.925 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.4675;
Z(2, 11; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 50000; Time: 526.743 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.463636;
Z(2, 12; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 50000; Time: 553.557 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.460417;
Z(2, 13; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 50000; Time: 583.708 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.457692;
Z(2, 14; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 50000; Time: 617.031 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.455357;
Z(2, 15; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 50000; Time: 650.764 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.453333;
Z(2, 16; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 50000; Time: 679.395 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.451562;
Z(2, 17; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 50000; Time: 790.191 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.45;
Z(2, 18; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 50000; Time: 931.417 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.448611;
Z(2, 19; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 50000; Time: 960.256 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.447368;
Z(2, 20; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 50000; Time: 1003.03 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.44625;
Z(2, 21; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 50000; Time: 1005.58 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.445238;
Z(2, 22; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 50000; Time: 1073.93 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.444318;
Z(2, 23; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 50000; Time: 1110.08 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.443478;
Z(2, 24; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 50000; Time: 1157.55 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.442708;
Z(2, 25; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 50000; Time: 1189.44 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.442;
Z(2, 26; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 50000; Time: 1230.11 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.441346;
Z(2, 27; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 50000; Time: 1266.49 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.440741;
Z(2, 28; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 50000; Time: 1307.31 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.440179;
Z(2, 29; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 50000; Time: 1291.15 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.439655;
Z(2, 30; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 50000; Time: 1333.76 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 50000 ; p: 0.439167;
Z(3, 3; 2, 2): Max: 6; Mean: 5.4423; Variance: 0.246671; Size: 50000; Time: 556.703 ms; Top5_Histogram_(relative_to_max): 0 0 0 27885 22115 ; p: 0.566667;
Z(3, 4; 2, 2): Max: 7; Mean: 6.66048; Variance: 0.224246; Size: 50000; Time: 582.945 ms; Top5_Histogram_(relative_to_max): 0 0 0 16976 33024 ; p: 0.495833;
Z(3, 5; 2, 2): Max: 8; Mean: 7.76314; Variance: 0.180757; Size: 50000; Time: 608.349 ms; Top5_Histogram_(relative_to_max): 0 0 0 11843 38157 ; p: 0.453333;
Z(3, 6; 2, 2): Max: 9; Mean: 8.81496; Variance: 0.1508; Size: 50000; Time: 686.103 ms; Top5_Histogram_(relative_to_max): 0 0 0 9252 40748 ; p: 0.425;
Z(3, 7; 2, 2): Max: 10; Mean: 9.84478; Variance: 0.131127; Size: 50000; Time: 720.596 ms; Top5_Histogram_(relative_to_max): 0 0 0 7761 42239 ; p: 0.404762;
Z(3, 8; 2, 2): Max: 11; Mean: 10.8645; Variance: 0.117125; Size: 50000; Time: 754.978 ms; Top5_Histogram_(relative_to_max): 0 0 0 6774 43226 ; p: 0.389583;
Z(3, 9; 2, 2): Max: 12; Mean: 11.8811; Variance: 0.104748; Size: 50000; Time: 723.434 ms; Top5_Histogram_(relative_to_max): 0 0 0 5944 44056 ; p: 0.377778;
Z(3, 10; 2, 2): Max: 13; Mean: 12.8945; Variance: 0.094354; Size: 50000; Time: 751.86 ms; Top5_Histogram_(relative_to_max): 0 0 0 5274 44726 ; p: 0.368333;
Z(3, 11; 2, 2): Max: 14; Mean: 13.9007; Variance: 0.0894075; Size: 50000; Time: 844.615 ms; Top5_Histogram_(relative_to_max): 0 0 0 4963 45037 ; p: 0.360606;
Z(3, 12; 2, 2): Max: 15; Mean: 14.909; Variance: 0.0826863; Size: 50000; Time: 884.223 ms; Top5_Histogram_(relative_to_max): 0 0 0 4548 45452 ; p: 0.354167;
Z(3, 13; 2, 2): Max: 16; Mean: 15.9151; Variance: 0.077692; Size: 50000; Time: 917.795 ms; Top5_Histogram_(relative_to_max): 0 0 0 4245 45755 ; p: 0.348718;
Z(3, 14; 2, 2): Max: 17; Mean: 16.9231; Variance: 0.0709695; Size: 50000; Time: 949.408 ms; Top5_Histogram_(relative_to_max): 0 0 0 3844 46156 ; p: 0.344048;
Z(3, 15; 2, 2): Max: 18; Mean: 17.9278; Variance: 0.06697; Size: 50000; Time: 991.948 ms; Top5_Histogram_(relative_to_max): 0 0 0 3609 46391 ; p: 0.34;
Z(3, 16; 2, 2): Max: 19; Mean: 18.9318; Variance: 0.0635488; Size: 50000; Time: 1026.62 ms; Top5_Histogram_(relative_to_max): 0 0 0 3410 46590 ; p: 0.336458;
Z(3, 17; 2, 2): Max: 20; Mean: 19.9349; Variance: 0.0608272; Size: 50000; Time: 1069.45 ms; Top5_Histogram_(relative_to_max): 0 0 0 3253 46747 ; p: 0.333333;
Z(3, 18; 2, 2): Max: 21; Mean: 20.9406; Variance: 0.0559069; Size: 50000; Time: 1117.17 ms; Top5_Histogram_(relative_to_max): 0 0 0 2972 47028 ; p: 0.330556;
Z(3, 19; 2, 2): Max: 22; Mean: 21.9409; Variance: 0.0556072; Size: 50000; Time: 1158.21 ms; Top5_Histogram_(relative_to_max): 0 0 0 2955 47045 ; p: 0.32807;
Z(3, 20; 2, 2): Max: 23; Mean: 22.9439; Variance: 0.0529883; Size: 50000; Time: 1204.97 ms; Top5_Histogram_(relative_to_max): 0 0 0 2807 47193 ; p: 0.325833;
Z(3, 21; 2, 2): Max: 24; Mean: 23.9464; Variance: 0.0507092; Size: 50000; Time: 1242.03 ms; Top5_Histogram_(relative_to_max): 0 0 0 2679 47321 ; p: 0.32381;
Z(3, 22; 2, 2): Max: 25; Mean: 24.9495; Variance: 0.0479138; Size: 50000; Time: 1355.22 ms; Top5_Histogram_(relative_to_max): 0 0 0 2523 47477 ; p: 0.32197;
Z(3, 23; 2, 2): Max: 26; Mean: 25.9501; Variance: 0.047428; Size: 50000; Time: 1401.4 ms; Top5_Histogram_(relative_to_max): 0 0 0 2496 47504 ; p: 0.32029;
Z(3, 24; 2, 2): Max: 27; Mean: 26.9537; Variance: 0.0441745; Size: 50000; Time: 1448.57 ms; Top5_Histogram_(relative_to_max): 0 0 0 2316 47684 ; p: 0.31875;
Z(3, 25; 2, 2): Max: 28; Mean: 27.9531; Variance: 0.0447185; Size: 50000; Time: 1492.73 ms; Top5_Histogram_(relative_to_max): 0 0 0 2346 47654 ; p: 0.317333;
Z(3, 26; 2, 2): Max: 29; Mean: 28.9565; Variance: 0.041626; Size: 50000; Time: 1535.45 ms; Top5_Histogram_(relative_to_max): 0 0 0 2176 47824 ; p: 0.316026;
Z(3, 27; 2, 2): Max: 30; Mean: 29.9573; Variance: 0.0408767; Size: 50000; Time: 1592.82 ms; Top5_Histogram_(relative_to_max): 0 0 0 2135 47865 ; p: 0.314815;
Z(3, 28; 2, 2): Max: 31; Mean: 30.9554; Variance: 0.0425744; Size: 50000; Time: 1671.71 ms; Top5_Histogram_(relative_to_max): 0 0 0 2228 47772 ; p: 0.31369;
Z(3, 29; 2, 2): Max: 32; Mean: 31.9578; Variance: 0.0403825; Size: 50000; Time: 1698.19 ms; Top5_Histogram_(relative_to_max): 0 0 0 2108 47892 ; p: 0.312644;
Z(3, 30; 2, 2): Max: 33; Mean: 32.9589; Variance: 0.0394108; Size: 50000; Time: 1585.27 ms; Top5_Histogram_(relative_to_max): 0 0 0 2055 47945 ; p: 0.311667;
Z(4, 4; 2, 2): Max: 9; Mean: 8.3149; Variance: 0.457698; Size: 50000; Time: 513.116 ms; Top5_Histogram_(relative_to_max): 0 0 6049 22157 21794 ; p: 0.478125;
Z(4, 5; 2, 2): Max: 10; Mean: 9.678; Variance: 0.329236; Size: 50000; Time: 558.71 ms; Top5_Histogram_(relative_to_max): 0 0 2773 10554 36673 ; p: 0.425;
Z(4, 6; 2, 2): Max: 12; Mean: 10.9456; Variance: 0.328121; Size: 50000; Time: 653.685 ms; Top5_Histogram_(relative_to_max): 0 1531 5044 38039 5386 ; p: 0.425;
Z(4, 7; 2, 2): Max: 13; Mean: 12.1421; Variance: 0.334496; Size: 50000; Time: 695.448 ms; Top5_Histogram_(relative_to_max): 0 1001 2311 35268 11420 ; p: 0.394643;
Z(4, 8; 2, 2): Max: 14; Mean: 13.2846; Variance: 0.340803; Size: 50000; Time: 728.176 ms; Top5_Histogram_(relative_to_max): 0 790 1060 31280 16870 ; p: 0.371875;
Z(4, 9; 2, 2): Max: 15; Mean: 14.3856; Variance: 0.328943; Size: 50000; Time: 852.05 ms; Top5_Histogram_(relative_to_max): 0 604 489 27932 20975 ; p: 0.354167;
Z(4, 10; 2, 2): Max: 16; Mean: 15.4586; Variance: 0.321523; Size: 50000; Time: 882.862 ms; Top5_Histogram_(relative_to_max): 0 523 262 24979 24236 ; p: 0.34;
Z(4, 11; 2, 2): Max: 17; Mean: 16.5121; Variance: 0.307413; Size: 50000; Time: 922.553 ms; Top5_Histogram_(relative_to_max): 0 438 125 22830 26607 ; p: 0.328409;
Z(4, 12; 2, 2): Max: 18; Mean: 17.5536; Variance: 0.296571; Size: 50000; Time: 967.309 ms; Top5_Histogram_(relative_to_max): 0 398 42 21044 28516 ; p: 0.31875;
Z(4, 13; 2, 2): Max: 19; Mean: 18.5882; Variance: 0.277504; Size: 50000; Time: 1023.15 ms; Top5_Histogram_(relative_to_max): 0 289 15 19694 30002 ; p: 0.310577;
Z(4, 14; 2, 2): Max: 20; Mean: 19.6125; Variance: 0.269575; Size: 50000; Time: 1147.86 ms; Top5_Histogram_(relative_to_max): 0 264 14 18553 31169 ; p: 0.303571;
Z(4, 15; 2, 2): Max: 21; Mean: 20.6395; Variance: 0.261591; Size: 50000; Time: 1214.51 ms; Top5_Histogram_(relative_to_max): 0 257 5 17246 32492 ; p: 0.2975;
Z(4, 16; 2, 2): Max: 22; Mean: 21.6613; Variance: 0.248502; Size: 50000; Time: 1262.31 ms; Top5_Histogram_(relative_to_max): 0 203 4 16318 33475 ; p: 0.292187;
Z(4, 17; 2, 2): Max: 23; Mean: 22.6763; Variance: 0.243431; Size: 50000; Time: 1365.42 ms; Top5_Histogram_(relative_to_max): 0 204 1 15570 34225 ; p: 0.2875;
Z(4, 18; 2, 2): Max: 24; Mean: 23.6934; Variance: 0.232212; Size: 50000; Time: 1427.01 ms; Top5_Histogram_(relative_to_max): 0 163 1 14841 34995 ; p: 0.283333;
Z(4, 19; 2, 2): Max: 25; Mean: 24.7067; Variance: 0.225995; Size: 50000; Time: 1486.38 ms; Top5_Histogram_(relative_to_max): 0 156 0 14197 35647 ; p: 0.279605;
Z(4, 20; 2, 2): Max: 26; Mean: 25.7195; Variance: 0.22138; Size: 50000; Time: 1539.1 ms; Top5_Histogram_(relative_to_max): 0 163 0 13536 36301 ; p: 0.27625;
Z(4, 21; 2, 2): Max: 27; Mean: 26.7285; Variance: 0.214828; Size: 50000; Time: 1577.21 ms; Top5_Histogram_(relative_to_max): 0 142 0 13149 36709 ; p: 0.273214;
Z(4, 22; 2, 2): Max: 28; Mean: 27.7386; Variance: 0.205171; Size: 50000; Time: 1613.35 ms; Top5_Histogram_(relative_to_max): 0 101 0 12765 37134 ; p: 0.270455;
Z(4, 23; 2, 2): Max: 29; Mean: 28.7528; Variance: 0.198952; Size: 50000; Time: 1680.09 ms; Top5_Histogram_(relative_to_max): 0 107 0 12041 37852 ; p: 0.267935;
Z(4, 24; 2, 2): Max: 30; Mean: 29.7614; Variance: 0.19427; Size: 50000; Time: 1733.3 ms; Top5_Histogram_(relative_to_max): 0 105 0 11615 38280 ; p: 0.265625;
Z(4, 25; 2, 2): Max: 31; Mean: 30.7694; Variance: 0.188224; Size: 50000; Time: 1742.49 ms; Top5_Histogram_(relative_to_max): 0 90 0 11260 38650 ; p: 0.2635;
Z(4, 26; 2, 2): Max: 32; Mean: 31.7795; Variance: 0.180617; Size: 50000; Time: 1832.84 ms; Top5_Histogram_(relative_to_max): 0 73 0 10804 39123 ; p: 0.261538;
Z(4, 27; 2, 2): Max: 33; Mean: 32.7861; Variance: 0.175587; Size: 50000; Time: 1876.82 ms; Top5_Histogram_(relative_to_max): 0 62 0 10509 39429 ; p: 0.259722;
Z(4, 28; 2, 2): Max: 34; Mean: 33.791; Variance: 0.174067; Size: 50000; Time: 1922.13 ms; Top5_Histogram_(relative_to_max): 0 73 0 10230 39697 ; p: 0.258036;
Z(4, 29; 2, 2): Max: 35; Mean: 34.7986; Variance: 0.16889; Size: 50000; Time: 1928.43 ms; Top5_Histogram_(relative_to_max): 0 67 0 9870 40063 ; p: 0.256466;
Z(4, 30; 2, 2): Max: 36; Mean: 35.8047; Variance: 0.163374; Size: 50000; Time: 1993.65 ms; Top5_Histogram_(relative_to_max): 0 52 0 9607 40341 ; p: 0.255;
Z(5, 5; 2, 2): Max: 12; Mean: 11.3976; Variance: 0.44471; Size: 50000; Time: 854.625 ms; Top5_Histogram_(relative_to_max): 0 790 2760 22231 24219 ; p: 0.408;
Z(5, 6; 2, 2): Max: 14; Mean: 12.9594; Variance: 0.499068; Size: 50000; Time: 958.69 ms; Top5_Histogram_(relative_to_max): 298 714 9604 29490 9894 ; p: 0.396667;
Z(5, 7; 2, 2): Max: 15; Mean: 14.3981; Variance: 0.481848; Size: 50000; Time: 1064.54 ms; Top5_Histogram_(relative_to_max): 157 242 4388 19967 25246 ; p: 0.364286;
Z(5, 8; 2, 2): Max: 17; Mean: 15.76; Variance: 0.500619; Size: 50000; Time: 1140.14 ms; Top5_Histogram_(relative_to_max): 72 1934 12770 29893 5236 ; p: 0.36125;
Z(5, 9; 2, 2): Max: 18; Mean: 17.0557; Variance: 0.521535; Size: 50000; Time: 1103.19 ms; Top5_Histogram_(relative_to_max): 21 956 8059 27809 13088 ; p: 0.34;
Z(5, 10; 2, 2): Max: 20; Mean: 18.2991; Variance: 0.523575; Size: 50000; Time: 1188.14 ms; Top5_Histogram_(relative_to_max): 418 5376 23515 19912 728 ; p: 0.34;
Z(5, 11; 2, 2): Max: 21; Mean: 19.4828; Variance: 0.522866; Size: 50000; Time: 1241.37 ms; Top5_Histogram_(relative_to_max): 218 3774 19627 24237 2115 ; p: 0.324545;
Z(5, 12; 2, 2): Max: 22; Mean: 20.6348; Variance: 0.544144; Size: 50000; Time: 1283.1 ms; Top5_Histogram_(relative_to_max): 124 2946 15915 26867 4110 ; p: 0.311667;
Z(5, 13; 2, 2): Max: 23; Mean: 21.7568; Variance: 0.537953; Size: 50000; Time: 1390.16 ms; Top5_Histogram_(relative_to_max): 49 2434 13080 28368 6047 ; p: 0.300769;
Z(5, 14; 2, 2): Max: 24; Mean: 22.8592; Variance: 0.533244; Size: 50000; Time: 1438.64 ms; Top5_Histogram_(relative_to_max): 34 1933 11005 28960 8045 ; p: 0.291429;
Z(5, 15; 2, 2): Max: 25; Mean: 23.9448; Variance: 0.525109; Size: 50000; Time: 1497.44 ms; Top5_Histogram_(relative_to_max): 11 1710 9284 28978 10010 ; p: 0.283333;
Z(5, 16; 2, 2): Max: 26; Mean: 25.0111; Variance: 0.520116; Size: 50000; Time: 1548.63 ms; Top5_Histogram_(relative_to_max): 8 1493 8006 28843 11637 ; p: 0.27625;
Z(5, 17; 2, 2): Max: 27; Mean: 26.07; Variance: 0.508877; Size: 50000; Time: 1604.4 ms; Top5_Histogram_(relative_to_max): 3 1279 7104 28388 13217 ; p: 0.27;
Z(5, 18; 2, 2): Max: 28; Mean: 27.1219; Variance: 0.50276; Size: 50000; Time: 1657.69 ms; Top5_Histogram_(relative_to_max): 3 1182 6224 27857 14727 ; p: 0.264444;
Z(5, 19; 2, 2): Max: 29; Mean: 28.1585; Variance: 0.492951; Size: 50000; Time: 1729.15 ms; Top5_Histogram_(relative_to_max): 1 1065 5668 27491 15767 ; p: 0.259474;
Z(5, 20; 2, 2): Max: 30; Mean: 29.1982; Variance: 0.485649; Size: 50000; Time: 1783.97 ms; Top5_Histogram_(relative_to_max): 0 967 5132 26870 17022 ; p: 0.255;
Z(5, 21; 2, 2): Max: 31; Mean: 30.2266; Variance: 0.479271; Size: 50000; Time: 1969.43 ms; Top5_Histogram_(relative_to_max): 1 884 4868 26250 17992 ; p: 0.250952;
Z(5, 22; 2, 2): Max: 32; Mean: 31.2606; Variance: 0.465257; Size: 50000; Time: 2021.31 ms; Top5_Histogram_(relative_to_max): 0 804 4327 25873 18991 ; p: 0.247273;
Z(5, 23; 2, 2): Max: 33; Mean: 32.279; Variance: 0.463541; Size: 50000; Time: 2092.41 ms; Top5_Histogram_(relative_to_max): 0 748 4271 25248 19730 ; p: 0.243913;
Z(5, 24; 2, 2): Max: 34; Mean: 33.3081; Variance: 0.454662; Size: 50000; Time: 2153.63 ms; Top5_Histogram_(relative_to_max): 0 738 3808 24758 20695 ; p: 0.240833;
