Z(2, 2; 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 18000; Time: 17.2622 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 18000 ;
Z(2, 3; 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 18000; Time: 16.7576 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 18000 ;
Z(2, 4; 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 18000; Time: 20.8301 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 18000 ;
Z(2, 5; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 18000; Time: 24.042 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 18000 ;
Z(2, 6; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 18000; Time: 27.6813 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 18000 ;
Z(2, 7; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 18000; Time: 31.2782 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 18000 ;
Z(2, 8; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 18000; Time: 35.7247 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 18000 ;
Z(2, 9; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 18000; Time: 39.864 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 18000 ;
Z(2, 10; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 18000; Time: 44.4717 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 18000 ;
Z(2, 11; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 18000; Time: 48.3866 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 18000 ;
Z(2, 12; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 18000; Time: 52.7733 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 18000 ;
Z(2, 13; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 18000; Time: 58.1205 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 18000 ;
