Z(2, 2; 4, 4): Max: 4; Mean: 4; Variance: 0; Size: 4; Time: 3.2248 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 3; 4, 4): Max: 6; Mean: 6; Variance: 0; Size: 8; Time: 3.0564 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(2, 4; 4, 4): Max: 8; Mean: 8; Variance: 0; Size: 8; Time: 3.0604 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(2, 5; 4, 4): Max: 10; Mean: 10; Variance: 0; Size: 8; Time: 3.0544 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(2, 6; 4, 4): Max: 12; Mean: 12; Variance: 0; Size: 8; Time: 3.0022 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(2, 7; 4, 4): Max: 14; Mean: 14; Variance: 0; Size: 8; Time: 3.2914 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(2, 8; 4, 4): Max: 16; Mean: 16; Variance: 0; Size: 8; Time: 3.0879 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(2, 9; 4, 4): Max: 18; Mean: 18; Variance: 0; Size: 8; Time: 3.0626 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(2, 10; 4, 4): Max: 20; Mean: 20; Variance: 0; Size: 8; Time: 3.0187 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(2, 11; 4, 4): Max: 22; Mean: 22; Variance: 0; Size: 8; Time: 3.0516 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(2, 12; 4, 4): Max: 24; Mean: 24; Variance: 0; Size: 8; Time: 3.11 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(2, 13; 4, 4): Max: 26; Mean: 26; Variance: 0; Size: 8; Time: 3.1089 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(2, 14; 4, 4): Max: 28; Mean: 28; Variance: 0; Size: 8; Time: 3.0525 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(2, 15; 4, 4): Max: 30; Mean: 30; Variance: 0; Size: 8; Time: 3.0923 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(2, 16; 4, 4): Max: 32; Mean: 32; Variance: 0; Size: 8; Time: 3.0967 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(2, 17; 4, 4): Max: 34; Mean: 34; Variance: 0; Size: 8; Time: 3.1735 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(2, 18; 4, 4): Max: 36; Mean: 36; Variance: 0; Size: 8; Time: 3.0583 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(2, 19; 4, 4): Max: 38; Mean: 38; Variance: 0; Size: 8; Time: 3.1048 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(2, 20; 4, 4): Max: 40; Mean: 40; Variance: 0; Size: 8; Time: 3.1184 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(2, 21; 4, 4): Max: 42; Mean: 42; Variance: 0; Size: 8; Time: 3.1878 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(2, 22; 4, 4): Max: 44; Mean: 44; Variance: 0; Size: 8; Time: 3.0951 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
