Z(2, 2; 6, 6): Max: 4; Mean: 4; Variance: 0; Size: 2; Time: 4.5482 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 3; 6, 6): Max: 6; Mean: 6; Variance: 0; Size: 2; Time: 4.2956 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 4; 6, 6): Max: 8; Mean: 8; Variance: 0; Size: 2; Time: 4.17 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 5; 6, 6): Max: 10; Mean: 10; Variance: 0; Size: 2; Time: 4.1373 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 6; 6, 6): Max: 12; Mean: 12; Variance: 0; Size: 2; Time: 4.0524 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 7; 6, 6): Max: 14; Mean: 14; Variance: 0; Size: 2; Time: 4.1778 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 8; 6, 6): Max: 16; Mean: 16; Variance: 0; Size: 2; Time: 4.1473 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 9; 6, 6): Max: 18; Mean: 18; Variance: 0; Size: 2; Time: 4.0653 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 10; 6, 6): Max: 20; Mean: 20; Variance: 0; Size: 2; Time: 4.1425 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 11; 6, 6): Max: 22; Mean: 22; Variance: 0; Size: 2; Time: 4.2766 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 12; 6, 6): Max: 24; Mean: 24; Variance: 0; Size: 2; Time: 4.0846 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 13; 6, 6): Max: 26; Mean: 26; Variance: 0; Size: 2; Time: 4.0643 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 14; 6, 6): Max: 28; Mean: 28; Variance: 0; Size: 2; Time: 4.0863 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 15; 6, 6): Max: 30; Mean: 30; Variance: 0; Size: 2; Time: 4.0189 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 16; 6, 6): Max: 32; Mean: 32; Variance: 0; Size: 2; Time: 3.9841 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 17; 6, 6): Max: 34; Mean: 34; Variance: 0; Size: 2; Time: 4.0558 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 18; 6, 6): Max: 36; Mean: 36; Variance: 0; Size: 2; Time: 4.0136 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 19; 6, 6): Max: 38; Mean: 38; Variance: 0; Size: 2; Time: 4.0021 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 20; 6, 6): Max: 40; Mean: 40; Variance: 0; Size: 2; Time: 4.0633 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 21; 6, 6): Max: 42; Mean: 42; Variance: 0; Size: 2; Time: 4.0175 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 22; 6, 6): Max: 44; Mean: 44; Variance: 0; Size: 2; Time: 3.9794 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 23; 6, 6): Max: 46; Mean: 46; Variance: 0; Size: 2; Time: 3.9918 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 24; 6, 6): Max: 48; Mean: 48; Variance: 0; Size: 2; Time: 4.0812 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 25; 6, 6): Max: 50; Mean: 50; Variance: 0; Size: 2; Time: 3.9807 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 26; 6, 6): Max: 52; Mean: 52; Variance: 0; Size: 2; Time: 3.9706 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 27; 6, 6): Max: 54; Mean: 54; Variance: 0; Size: 2; Time: 4.0879 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 28; 6, 6): Max: 56; Mean: 56; Variance: 0; Size: 2; Time: 4.0103 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 29; 6, 6): Max: 58; Mean: 58; Variance: 0; Size: 2; Time: 4.0745 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 30; 6, 6): Max: 60; Mean: 60; Variance: 0; Size: 2; Time: 4.064 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(3, 3; 6, 6): Max: 9; Mean: 9; Variance: 0; Size: 4; Time: 4.2142 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 4; 6, 6): Max: 12; Mean: 12; Variance: 0; Size: 4; Time: 4.1688 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 5; 6, 6): Max: 15; Mean: 15; Variance: 0; Size: 4; Time: 4.1869 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 6; 6, 6): Max: 18; Mean: 18; Variance: 0; Size: 4; Time: 4.2945 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 7; 6, 6): Max: 21; Mean: 21; Variance: 0; Size: 4; Time: 4.2337 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 8; 6, 6): Max: 24; Mean: 24; Variance: 0; Size: 4; Time: 4.2265 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 9; 6, 6): Max: 27; Mean: 27; Variance: 0; Size: 4; Time: 4.3244 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 10; 6, 6): Max: 30; Mean: 30; Variance: 0; Size: 4; Time: 4.3005 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 11; 6, 6): Max: 33; Mean: 33; Variance: 0; Size: 4; Time: 4.2898 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 12; 6, 6): Max: 36; Mean: 36; Variance: 0; Size: 4; Time: 4.2969 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 13; 6, 6): Max: 39; Mean: 39; Variance: 0; Size: 4; Time: 4.4604 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 14; 6, 6): Max: 42; Mean: 42; Variance: 0; Size: 4; Time: 4.3039 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 15; 6, 6): Max: 45; Mean: 45; Variance: 0; Size: 4; Time: 4.3412 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 16; 6, 6): Max: 48; Mean: 48; Variance: 0; Size: 4; Time: 4.4366 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 17; 6, 6): Max: 51; Mean: 51; Variance: 0; Size: 4; Time: 4.4303 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 18; 6, 6): Max: 54; Mean: 54; Variance: 0; Size: 4; Time: 4.4986 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 19; 6, 6): Max: 57; Mean: 57; Variance: 0; Size: 4; Time: 4.5516 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 20; 6, 6): Max: 60; Mean: 60; Variance: 0; Size: 4; Time: 4.5108 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 21; 6, 6): Max: 63; Mean: 63; Variance: 0; Size: 4; Time: 4.611 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 22; 6, 6): Max: 66; Mean: 66; Variance: 0; Size: 4; Time: 4.6439 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 23; 6, 6): Max: 69; Mean: 69; Variance: 0; Size: 4; Time: 4.7043 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 24; 6, 6): Max: 72; Mean: 72; Variance: 0; Size: 4; Time: 4.7784 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 25; 6, 6): Max: 75; Mean: 75; Variance: 0; Size: 4; Time: 4.8723 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 26; 6, 6): Max: 78; Mean: 78; Variance: 0; Size: 4; Time: 4.9223 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 27; 6, 6): Max: 81; Mean: 81; Variance: 0; Size: 4; Time: 5.0495 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 28; 6, 6): Max: 84; Mean: 84; Variance: 0; Size: 4; Time: 5.1542 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 29; 6, 6): Max: 87; Mean: 87; Variance: 0; Size: 4; Time: 5.2102 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 30; 6, 6): Max: 90; Mean: 90; Variance: 0; Size: 4; Time: 5.3024 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 4; 6, 6): Max: 16; Mean: 16; Variance: 0; Size: 4; Time: 4.1565 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 5; 6, 6): Max: 20; Mean: 20; Variance: 0; Size: 4; Time: 4.1418 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 6; 6, 6): Max: 24; Mean: 24; Variance: 0; Size: 4; Time: 4.3602 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 7; 6, 6): Max: 28; Mean: 28; Variance: 0; Size: 4; Time: 4.3766 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 8; 6, 6): Max: 32; Mean: 32; Variance: 0; Size: 4; Time: 4.4633 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 9; 6, 6): Max: 36; Mean: 36; Variance: 0; Size: 4; Time: 4.3731 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 10; 6, 6): Max: 40; Mean: 40; Variance: 0; Size: 4; Time: 4.5297 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 11; 6, 6): Max: 44; Mean: 44; Variance: 0; Size: 4; Time: 4.587 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 12; 6, 6): Max: 48; Mean: 48; Variance: 0; Size: 4; Time: 4.6616 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 13; 6, 6): Max: 52; Mean: 52; Variance: 0; Size: 4; Time: 4.7612 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 14; 6, 6): Max: 56; Mean: 56; Variance: 0; Size: 4; Time: 4.8828 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 15; 6, 6): Max: 60; Mean: 60; Variance: 0; Size: 4; Time: 4.9732 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 16; 6, 6): Max: 64; Mean: 64; Variance: 0; Size: 4; Time: 5.3839 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 17; 6, 6): Max: 68; Mean: 68; Variance: 0; Size: 4; Time: 5.6832 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 18; 6, 6): Max: 72; Mean: 72; Variance: 0; Size: 4; Time: 6.0027 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 19; 6, 6): Max: 76; Mean: 76; Variance: 0; Size: 4; Time: 6.3661 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 20; 6, 6): Max: 80; Mean: 80; Variance: 0; Size: 4; Time: 6.8216 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 21; 6, 6): Max: 84; Mean: 84; Variance: 0; Size: 4; Time: 7.3194 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 22; 6, 6): Max: 88; Mean: 88; Variance: 0; Size: 4; Time: 7.8819 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 23; 6, 6): Max: 92; Mean: 92; Variance: 0; Size: 4; Time: 8.5819 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 24; 6, 6): Max: 96; Mean: 96; Variance: 0; Size: 4; Time: 9.1729 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 25; 6, 6): Max: 100; Mean: 100; Variance: 0; Size: 4; Time: 9.8736 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 26; 6, 6): Max: 104; Mean: 104; Variance: 0; Size: 4; Time: 10.9624 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 27; 6, 6): Max: 108; Mean: 108; Variance: 0; Size: 4; Time: 12.0839 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 28; 6, 6): Max: 112; Mean: 112; Variance: 0; Size: 4; Time: 13.3244 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 29; 6, 6): Max: 116; Mean: 116; Variance: 0; Size: 4; Time: 14.2645 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
